Date,Open,High,Low,Close,Adj Close,Volume
12/1/23,4559.43,4599.39,4554.71,4594.63,4594.63,4397120000
11/30/23,4554.87,4569.89,4537.24,4567.80,4567.80,5399300000
11/29/23,4571.84,4587.64,4547.15,4550.58,4550.58,4418760000
11/28/23,4545.55,4568.14,4540.51,4554.89,4554.89,3586240000
11/27/23,4554.86,4560.52,4546.32,4550.43,4550.43,3403990000
11/24/23,4555.84,4560.31,4552.80,4559.34,4559.34,1639500000
11/22/23,4553.04,4568.43,4545.05,4556.62,4556.62,3042810000
11/21/23,4538.77,4542.14,4525.51,4538.19,4538.19,3511080000
11/20/23,4511.70,4557.11,4510.36,4547.38,4547.38,3644790000
11/17/23,4509.55,4520.12,4499.66,4514.02,4514.02,3777240000
11/16/23,4497.08,4511.99,4487.83,4508.24,4508.24,3964520000
11/15/23,4505.30,4521.17,4495.31,4502.88,4502.88,4347170000
11/14/23,4458.97,4508.67,4458.97,4495.70,4495.70,4700350000
11/13/23,4406.66,4421.76,4393.82,4411.55,4411.55,3326240000
11/10/23,4364.15,4418.03,4353.34,4415.24,4415.24,3665080000
11/9/23,4391.41,4393.40,4343.94,4347.35,4347.35,3900780000
11/8/23,4384.37,4391.20,4359.76,4382.78,4382.78,3729510000
11/7/23,4366.21,4386.26,4355.41,4378.38,4378.38,3791230000
11/6/23,4364.27,4372.21,4347.53,4365.98,4365.98,3656340000
11/3/23,4334.23,4373.62,4334.23,4358.34,4358.34,4570960000
11/2/23,4268.26,4319.72,4268.26,4317.78,4317.78,4669780000
11/1/23,4201.27,4245.64,4197.74,4237.86,4237.86,4224900000
10/31/23,4171.33,4195.55,4153.12,4193.80,4193.80,4249470000
10/30/23,4139.39,4177.47,4132.94,4166.82,4166.82,3911140000
10/27/23,4152.93,4156.70,4103.78,4117.37,4117.37,4019500000
10/26/23,4175.99,4183.60,4127.90,4137.23,4137.23,4277640000
10/25/23,4232.42,4232.42,4181.42,4186.77,4186.77,3869370000
10/24/23,4235.79,4259.38,4219.43,4247.68,4247.68,3821820000
10/23/23,4210.40,4255.84,4189.22,4217.04,4217.04,3776100000
10/20/23,4273.85,4276.56,4223.03,4224.16,4224.16,4004030000
10/19/23,4321.36,4339.54,4269.69,4278.00,4278.00,3969730000
10/18/23,4357.35,4364.20,4303.84,4314.60,4314.60,3686030000
10/17/23,4345.23,4393.57,4337.54,4373.20,4373.20,3794850000
10/16/23,4342.37,4383.33,4342.37,4373.63,4373.63,3409960000
10/13/23,4360.49,4377.10,4311.97,4327.78,4327.78,3566560000
10/12/23,4380.94,4385.85,4325.43,4349.61,4349.61,3713140000
10/11/23,4366.59,4378.64,4345.34,4376.95,4376.95,3601660000
10/10/23,4339.75,4385.46,4339.64,4358.24,4358.24,3520240000
10/9/23,4289.02,4341.73,4283.79,4335.66,4335.66,3174630000
10/6/23,4234.79,4324.10,4219.55,4308.50,4308.50,3902030000
10/5/23,4259.31,4267.13,4225.91,4258.19,4258.19,3581470000
10/4/23,4233.83,4268.50,4220.48,4263.75,4263.75,3777600000
10/3/23,4269.75,4281.15,4216.45,4229.45,4229.45,3953830000
10/2/23,4284.52,4300.58,4260.21,4288.39,4288.39,3938660000
9/29/23,4328.18,4333.15,4274.86,4288.05,4288.05,3865960000
9/28/23,4269.65,4317.27,4264.38,4299.70,4299.70,3846230000
9/27/23,4282.63,4292.07,4238.63,4274.51,4274.51,3875880000
9/26/23,4312.88,4313.01,4265.98,4273.53,4273.53,3472340000
9/25/23,4310.62,4338.51,4302.70,4337.44,4337.44,3195650000
9/22/23,4341.74,4357.40,4316.49,4320.06,4320.06,3349570000
9/21/23,4374.36,4375.70,4329.17,4330.00,4330.00,3662340000
9/20/23,4452.81,4461.03,4401.38,4402.20,4402.20,3308450000
9/19/23,4445.41,4449.85,4416.61,4443.95,4443.95,3614880000
9/18/23,4445.13,4466.36,4442.11,4453.53,4453.53,3161230000
9/15/23,4497.98,4497.98,4447.21,4450.32,4450.32,6932230000
9/14/23,4487.78,4511.99,4478.69,4505.10,4505.10,3648720000
9/13/23,4462.65,4479.39,4453.52,4467.44,4467.44,3529430000
9/12/23,4473.27,4487.11,4456.83,4461.90,4461.90,3435740000
9/11/23,4480.98,4490.77,4467.89,4487.46,4487.46,3369920000
9/8/23,4451.30,4473.53,4448.38,4457.49,4457.49,3259290000
